transaction_id,from_account,to_account,amount,timestamp,channel,is_fraud,sender_country,receiver_country,login_country,registered_country
TX000000,ACC0166,ACC0197,500.0,2025-10-31 01:47:30,UPI,0,USA,UK,USA,USA
TX000001,ACC0286,ACC0124,25000.0,2025-07-06 09:28:30,IMPS,0,UK,USA,UK,UK
TX000002,ACC0086,ACC0071,5000.0,2025-10-26 06:40:30,UPI,0,UK,India,UK,UK
TX000003,ACC0032,ACC0085,12000.0,2025-11-08 01:52:30,IMPS,0,USA,USA,USA,USA
TX000004,ACC0039,ACC0184,5000.0,2025-11-22 15:31:30,IMPS,0,India,UK,India,India
TX000005,ACC0100,ACC0234,500.0,2026-01-19 06:11:30,IMPS,0,UK,UK,UK,UK
TX000006,ACC0170,ACC0194,5000.0,2025-08-16 04:44:30,CARD,0,USA,India,USA,USA
TX000007,ACC0069,ACC0153,5000.0,2025-05-24 16:59:30,IMPS,0,USA,India,USA,USA
TX000008,ACC0160,ACC0090,12000.0,2025-10-17 05:24:30,CARD,0,UK,USA,UK,UK
TX000009,ACC0251,ACC0294,2000.0,2025-10-14 02:54:30,IMPS,0,USA,UK,USA,USA
TX000010,ACC0186,ACC0058,25000.0,2025-12-16 20:37:30,UPI,0,India,USA,India,India
TX000011,ACC0281,ACC0013,12000.0,2025-04-01 08:43:30,IMPS,0,India,USA,India,India
TX000012,ACC0035,ACC0209,12000.0,2026-01-16 18:52:30,UPI,0,India,USA,India,India
TX000013,ACC0129,ACC0078,12000.0,2025-09-17 12:43:30,CARD,0,USA,UK,USA,USA
TX000014,ACC0245,ACC0298,12000.0,2025-06-28 22:12:30,CARD,0,UK,India,UK,UK
TX000015,ACC0214,ACC0278,500.0,2025-09-25 16:14:30,CARD,0,USA,UK,USA,USA
TX000016,ACC0043,ACC0055,2000.0,2025-04-26 17:49:30,UPI,0,India,UK,India,India
TX000017,ACC0022,ACC0288,12000.0,2025-10-11 02:05:30,UPI,0,India,UK,India,India
TX000018,ACC0050,ACC0132,2000.0,2025-07-10 15:38:30,CARD,0,USA,UK,USA,USA
TX000019,ACC0297,ACC0294,2000.0,2025-08-13 03:46:30,IMPS,0,India,UK,India,India
TX000020,ACC0256,ACC0077,5000.0,2026-03-17 00:05:30,IMPS,0,USA,UK,USA,USA
TX000021,ACC0212,ACC0043,500.0,2026-01-16 03:52:30,IMPS,0,USA,India,USA,USA
TX000022,ACC0233,ACC0105,25000.0,2025-07-25 03:41:30,UPI,0,USA,UK,USA,USA
TX000023,ACC0224,ACC0231,5000.0,2026-02-23 06:09:30,CARD,0,India,UK,India,India
TX000024,ACC0058,ACC0011,5000.0,2025-05-02 11:28:30,UPI,0,USA,USA,USA,USA
TX000025,ACC0124,ACC0264,2000.0,2025-06-20 09:50:30,CARD,0,USA,UK,USA,USA
TX000026,ACC0218,ACC0236,2000.0,2025-09-02 19:00:30,UPI,0,India,USA,India,India
TX000027,ACC0221,ACC0202,500.0,2025-05-19 08:43:30,CARD,0,India,USA,India,India
TX000028,ACC0219,ACC0199,500.0,2025-04-03 08:58:30,IMPS,0,USA,USA,USA,USA
TX000029,ACC0032,ACC0295,500.0,2025-06-28 09:48:30,IMPS,0,USA,UK,USA,USA
TX000030,ACC0100,ACC0234,500.0,2025-11-14 17:16:30,IMPS,0,UK,UK,UK,UK
TX000031,ACC0270,ACC0160,25000.0,2025-09-11 19:46:30,CARD,0,UK,UK,UK,UK
TX000032,ACC0058,ACC0178,5000.0,2025-08-06 20:00:30,CARD,0,USA,USA,USA,USA
TX000033,ACC0152,ACC0043,2000.0,2025-10-20 11:56:30,IMPS,0,UK,India,UK,UK
TX000034,ACC0059,ACC0093,5000.0,2025-04-08 10:39:30,IMPS,0,UK,USA,UK,UK
TX000035,ACC0214,ACC0070,25000.0,2025-09-14 02:00:30,IMPS,0,USA,India,USA,USA
TX000036,ACC0275,ACC0088,25000.0,2026-01-02 23:53:30,UPI,0,USA,India,USA,USA
TX000037,ACC0095,ACC0161,12000.0,2025-05-16 13:16:30,IMPS,0,UK,India,UK,UK
TX000038,ACC0004,ACC0248,2000.0,2025-12-20 02:36:30,CARD,0,UK,UK,UK,UK
TX000039,ACC0253,ACC0209,12000.0,2025-08-28 16:18:30,IMPS,0,UK,USA,UK,UK
TX000040,ACC0250,ACC0085,500.0,2025-06-13 14:21:30,UPI,0,UK,USA,UK,UK
TX000041,ACC0149,ACC0016,5000.0,2025-12-03 21:53:30,UPI,0,India,India,India,India
TX000042,ACC0234,ACC0289,12000.0,2025-06-20 23:04:30,CARD,0,UK,USA,UK,UK
TX000043,ACC0058,ACC0137,25000.0,2025-09-22 21:19:30,UPI,0,USA,USA,USA,USA
TX000044,ACC0225,ACC0279,2000.0,2025-08-24 11:24:30,CARD,0,UK,UK,UK,UK
TX000045,ACC0126,ACC0152,500.0,2025-08-11 06:49:30,UPI,0,USA,UK,USA,USA
TX000046,ACC0224,ACC0060,2000.0,2025-12-11 15:34:30,CARD,0,India,India,India,India
TX000047,ACC0179,ACC0219,2000.0,2025-05-18 10:21:30,UPI,0,India,USA,India,India
TX000048,ACC0105,ACC0030,25000.0,2025-09-30 21:54:30,CARD,0,UK,India,UK,UK
TX000049,ACC0275,ACC0086,5000.0,2025-04-03 05:53:30,CARD,0,USA,UK,USA,USA
TX000050,ACC0136,ACC0263,500.0,2026-01-19 01:13:30,UPI,0,India,USA,India,India
TX000051,ACC0141,ACC0064,2000.0,2025-11-22 10:26:30,IMPS,0,USA,India,USA,USA
TX000052,ACC0126,ACC0201,12000.0,2026-01-15 20:31:30,IMPS,0,USA,India,USA,USA
TX000053,ACC0212,ACC0192,12000.0,2026-02-18 18:21:30,UPI,0,USA,India,USA,USA
TX000054,ACC0206,ACC0263,5000.0,2025-04-08 03:42:30,IMPS,0,UK,USA,UK,UK
TX000055,ACC0167,ACC0297,500.0,2026-02-09 15:42:30,CARD,0,India,India,India,India
TX000056,ACC0183,ACC0032,25000.0,2025-09-07 08:44:30,UPI,0,UK,USA,UK,UK
TX000057,ACC0253,ACC0137,5000.0,2025-11-04 04:36:30,CARD,0,UK,USA,UK,UK
TX000058,ACC0066,ACC0289,12000.0,2025-10-04 17:23:30,UPI,0,USA,USA,USA,USA
TX000059,ACC0023,ACC0050,12000.0,2026-03-21 11:12:30,UPI,0,UK,USA,UK,UK
TX000060,ACC0225,ACC0233,500.0,2025-08-22 08:27:30,UPI,0,UK,USA,UK,UK
TX000061,ACC0154,ACC0081,5000.0,2026-02-09 18:48:30,IMPS,0,UK,UK,UK,UK
TX000062,ACC0042,ACC0190,2000.0,2026-03-03 02:31:30,IMPS,0,UK,USA,UK,UK
TX000063,ACC0119,ACC0219,500.0,2025-04-03 12:11:30,UPI,0,UK,USA,UK,UK
TX000064,ACC0244,ACC0039,2000.0,2025-05-30 07:38:30,CARD,0,India,India,India,India
TX000065,ACC0227,ACC0004,500.0,2025-04-07 04:19:30,UPI,0,USA,UK,USA,USA
TX000066,ACC0216,ACC0067,12000.0,2026-02-21 07:47:30,UPI,0,USA,UK,USA,USA
TX000067,ACC0052,ACC0160,5000.0,2025-10-27 10:47:30,UPI,0,UK,UK,UK,UK
TX000068,ACC0073,ACC0035,25000.0,2025-06-14 14:32:30,CARD,0,USA,India,USA,USA
TX000069,ACC0084,ACC0225,5000.0,2025-12-09 18:24:30,UPI,0,UK,UK,UK,UK
TX000070,ACC0210,ACC0226,2000.0,2026-02-13 12:03:30,UPI,0,USA,India,USA,USA
TX000071,ACC0196,ACC0179,12000.0,2025-10-19 10:56:30,IMPS,0,UK,India,UK,UK
TX000072,ACC0043,ACC0127,25000.0,2025-05-25 19:25:30,CARD,0,India,USA,India,India
TX000073,ACC0145,ACC0013,5000.0,2025-12-13 22:33:30,CARD,0,UK,USA,UK,UK
TX000074,ACC0096,ACC0200,5000.0,2025-05-03 13:21:30,UPI,0,India,India,India,India
TX000075,ACC0253,ACC0197,500.0,2025-11-25 23:31:30,CARD,0,UK,UK,UK,UK
TX000076,ACC0036,ACC0270,500.0,2025-09-26 05:03:30,IMPS,0,India,UK,India,India
TX000077,ACC0291,ACC0215,5000.0,2025-06-22 18:00:30,IMPS,0,India,USA,India,India
TX000078,ACC0037,ACC0008,25000.0,2026-02-23 14:55:30,UPI,0,USA,USA,USA,USA
TX000079,ACC0020,ACC0030,12000.0,2025-07-13 05:31:30,CARD,0,UK,India,UK,UK
TX000080,ACC0256,ACC0212,12000.0,2025-04-04 03:06:30,CARD,0,USA,USA,USA,USA
