transaction_id,from_account,to_account,amount,timestamp,channel,is_fraud,sender_country,receiver_country,login_country,registered_country,hour,day_of_week,is_weekend,is_night,amount_log,prev_txn_time,seconds_since_last_txn,days_since_last_txn,repeat_amount_count,unique_counterparties,prev_time,DORMANT_ACCOUNT_ACTIVATION,SUDDEN_DEPOSIT_WITHDRAWAL,SMURFING,RAPID_FUND_MOVEMENT,ROUND_NUMBER_TXN,NIGHT_TXN,CROSS_BORDER,GEO_ANOMALY,RECURRENT_PATTERN,KYC_MISMATCH,account_id,declared_income,DETECTED_PATTERNS,TXN_RISK_SCORE,ALERT_PRIORITY
TX005142,ACC0295,ACC0034,50000.0,2025-03-28 20:25:33,UPI,1,UK,UK,UK,UK,20,4,0,0,10.819798284210286,,999999.0,11.5740625,4,24,,0,0,0,0,1,0,0,0,0,0,ACC0295,1144872,['ROUND_NUMBER_TXN'],0.15,LOW
TX005143,ACC0034,ACC0091,50000.0,2025-03-28 20:26:33,IMPS,1,UK,UK,UK,UK,20,4,0,0,10.819798284210286,,999999.0,11.5740625,1,18,,0,0,0,0,1,0,0,0,0,0,ACC0034,829139,['ROUND_NUMBER_TXN'],0.15,LOW
TX002431,ACC0117,ACC0085,5000.0,2025-03-28 22:26:32,CARD,0,USA,USA,USA,USA,22,4,0,0,8.517393171418904,,999999.0,11.5740625,2,23,,0,0,0,0,0,0,0,0,0,0,ACC0117,1386837,[],0.0,LOW
TX002191,ACC0298,ACC0252,2000.0,2025-03-29 00:20:31,CARD,0,India,UK,India,India,0,5,1,1,7.601402334583733,,999999.0,11.5740625,5,20,,0,0,0,0,0,1,1,0,1,0,ACC0298,1132678,"['NIGHT_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.6,HIGH
TX004890,ACC0191,ACC0097,50000.0,2025-03-29 01:01:33,UPI,1,USA,UK,USA,USA,1,5,1,1,10.819798284210286,,999999.0,11.5740625,3,22,,0,0,0,0,1,1,1,0,0,0,ACC0191,1185944,"['ROUND_NUMBER_TXN', 'NIGHT_TXN', 'CROSS_BORDER']",0.55,HIGH
TX004891,ACC0097,ACC0123,50000.0,2025-03-29 01:02:33,UPI,1,UK,USA,UK,UK,1,5,1,1,10.819798284210286,,999999.0,11.5740625,2,21,,0,0,0,0,1,1,1,0,0,0,ACC0097,765205,"['ROUND_NUMBER_TXN', 'NIGHT_TXN', 'CROSS_BORDER']",0.55,HIGH
TX005755,ACC0112,ACC0228,100000.0,2025-03-29 03:16:34,IMPS,1,India,India,India,India,3,5,1,1,11.51293546492023,,999999.0,11.5740625,9,37,,0,0,0,0,1,1,0,0,1,0,ACC0112,1158247,"['ROUND_NUMBER_TXN', 'NIGHT_TXN', 'RECURRENT_PATTERN']",0.5,HIGH
TX005756,ACC0228,ACC0075,100000.0,2025-03-29 03:17:34,CARD,1,India,USA,India,India,3,5,1,1,11.51293546492023,,999999.0,11.5740625,10,31,,0,0,0,0,1,1,1,0,1,0,ACC0228,402755,"['ROUND_NUMBER_TXN', 'NIGHT_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.75,CRITICAL
TX005757,ACC0075,ACC0285,100000.0,2025-03-29 03:18:34,IMPS,1,USA,India,USA,USA,3,5,1,1,11.51293546492023,,999999.0,11.5740625,8,43,,0,0,0,0,1,1,1,0,1,0,ACC0075,1080927,"['ROUND_NUMBER_TXN', 'NIGHT_TXN', 'CROSS_BORDER', 'RECURRENT_PATTERN']",0.75,CRITICAL
TX003899,ACC0232,ACC0023,2000.0,2025-03-29 05:09:33,IMPS,0,UK,UK,UK,UK,5,5,1,1,7.601402334583733,,999999.0,11.5740625,7,26,,0,0,0,0,0,1,0,0,1,0,ACC0232,429857,"['NIGHT_TXN', 'RECURRENT_PATTERN']",0.35,MEDIUM
