transaction_id,from_account,to_account,amount,timestamp,channel,is_fraud,hour,day_of_week,is_weekend,is_night,amount_log,prev_txn_time,seconds_since_last_txn,days_since_last_txn,repeat_amount_count,unique_counterparties,transaction_patterns,txn_risk_score,avg_amt_7d,std_amt_7d,tx_count_7d
TX000091,ACC036,ACC006,5000,28:24.7,UPI,0,12,6,1,0,8.517393171,0,999999,11.5740625,3,15,[],0,5000,0,1
TX000730,ACC046,ACC016,100000,52:24.7,IMPS,1,12,6,1,0,11.51293546,0,999999,11.5740625,2,15,['ROUND_NUMBER_TXN'],0.15,100000,0,1
TX000030,ACC037,ACC038,25000,02:24.7,CARD,0,13,6,1,0,10.1266711,0,999999,11.5740625,7,20,"['ROUND_NUMBER_TXN', 'RECURRING_PATTERN']",0.3,25000,0,1
TX000384,ACC003,ACC026,1200,30:24.7,UPI,0,13,6,1,0,7.090909822,0,999999,11.5740625,2,14,[],0,1200,0,1
TX000499,ACC031,ACC046,250000,50:24.7,UPI,0,13,6,1,0,12.4292202,0,999999,11.5740625,3,17,[],0,250000,0,1
TX000039,ACC032,ACC001,25000,36:24.7,UPI,0,15,6,1,0,10.1266711,0,999999,11.5740625,2,16,['ROUND_NUMBER_TXN'],0.15,25000,0,1
TX000931,ACC038,ACC042,100000,52:24.7,IMPS,0,15,6,1,0,11.51293546,0,999999,11.5740625,2,15,['ROUND_NUMBER_TXN'],0.15,100000,0,1
TX000486,ACC005,ACC030,1200,13:24.7,UPI,0,16,6,1,0,7.090909822,0,999999,11.5740625,3,17,[],0,1200,0,1
TX000713,ACC037,ACC006,100000,56:24.7,CARD,0,16,6,1,0,11.51293546,02:24.7,14040,0.1625,2,20,['ROUND_NUMBER_TXN'],0.15,62500,53033.00859,2
TX000603,ACC041,ACC021,1200,20:24.7,UPI,0,17,6,1,0,7.090909822,0,999999,11.5740625,5,18,['RECURRING_PATTERN'],0.15,1200,0,1
TX000098,ACC003,ACC024,50000,19:24.7,CARD,0,18,6,1,0,10.81979828,30:24.7,17340,0.200694444,2,14,['ROUND_NUMBER_TXN'],0.15,25600,34506.81092,2
TX000741,ACC013,ACC038,100000,23:24.7,CARD,1,18,6,1,0,11.51293546,0,999999,11.5740625,3,21,['ROUND_NUMBER_TXN'],0.15,100000,0,1
TX000298,ACC009,ACC047,10000,54:24.7,UPI,0,18,6,1,0,9.210440367,0,999999,11.5740625,4,23,['ROUND_NUMBER_TXN'],0.15,10000,0,1
TX000841,ACC022,ACC026,50000,22:24.7,UPI,0,20,6,1,0,10.81979828,0,999999,11.5740625,3,12,['ROUND_NUMBER_TXN'],0.15,50000,0,1
TX000836,ACC041,ACC029,5000,45:24.7,UPI,0,20,6,1,0,8.517393171,20:24.7,12300,0.142361111,3,18,[],0,3100,2687.005769,2
